A,B
45.48131,0.00300
44.56355,0.01184
44.48522,0.01201
44.94271,0.00330
44.85158,0.01119
44.44037,0.00881
45.03819,0.00636
45.01922,0.01030
44.83776,0.01180
44.34770,0.01620
44.65749,0.02087
45.15750,0.00316
44.86974,0.00429
45.20451,0.00682
44.41496,0.02823
44.07756,0.01569
44.46839,0.01818
44.94597,0.01473
44.97579,0.00870
45.31695,0.00348
44.42739,0.01001
44.67777,0.00818
44.66881,0.00996
43.97203,0.01931
45.32038,0.01521
44.90722,0.00845
46.03777,0.00271
44.68607,0.00933
44.85840,0.01403
44.66664,0.02041
44.89960,0.00945
45.16364,0.00529
45.38134,0.00108
44.71793,0.01262
44.52579,0.00859
44.77300,0.00709
44.90015,0.01635
44.95125,0.00533
44.86517,0.01167
44.04390,0.01457
44.63855,0.00636
44.54728,0.01244
44.77257,0.00811
45.09934,0.00988
45.06645,0.00483
44.86206,0.00619
45.78051,0.00221
44.68850,0.01901
45.12138,0.01090
44.82848,0.01646
45.09556,0.00355
44.48811,0.02844
45.38660,0.00364
44.78246,0.01541
44.95779,0.00549
44.90453,0.01543
45.34227,0.00203
45.01199,0.00722
44.20388,0.01319
44.42333,0.00776
44.70367,0.01257
45.16175,0.00414
44.19785,0.01503
44.47436,0.01178
44.48945,0.02412
45.16544,0.00446
44.73836,0.01216
44.70017,0.01567
44.99169,0.00923
45.37277,0.00411
44.99354,0.00965
44.65862,0.01016
44.56841,0.01574
44.65633,0.04556
44.59963,0.00717
44.73006,0.02122
44.47789,0.01137
45.01247,0.01123
44.55196,0.01556
44.98618,0.00803
45.06799,0.01807
44.86777,0.01203
44.71317,0.02774
44.93590,0.01085
44.57434,0.02606
44.45962,0.01028
45.73744,0.00214
44.28572,0.01334
0.01334,0.01387
44.39641,0.01567
44.43794,0.01206
44.40271,0.01366
44.66232,0.01430
